Date,Price,Open,High,Low,Vol.,Change %
16-Feb-22,"3,069.74","3,182.32","3,184.15","3,045.92",401.88K,-3.54%
15-Feb-22,"3,182.27","2,929.29","3,193.18","2,912.61",540.04K,8.64%
14-Feb-22,"2,929.31","2,871.06",,"2,834.13",477.24K,2.06%
13-Feb-22,"2,870.25","2,917.16","2,952.94","2,838.29",303.12K,-1.61%
12-Feb-22,,"2,927.64","2,984.72","2,858.85",433.29K,-0.36%
11-Feb-22,"2,927.63","3,071.80","3,136.33","2,880.60",607.93K,-4.69%
10-Feb-22,"3,071.83","3,243.73","3,277.36","3,058.59",742.54K,-5.30%
09-Feb-22,"3,243.62","3,115.91","3,266.41","3,055.95",477.82K,4.10%
08-Feb-22,"3,115.88","3,139.65","3,228.86","3,029.70",,-0.77%
07-Feb-22,"3,140.18","3,056.29","3,185.77","2,995.59",568.42K,2.75%
06-Feb-22,"3,056.20","3,013.75","3,073.23","2,957.16",316.58K,1.41%
05-Feb-22,"3,013.81","2,994.74","3,058.88","2,963.11",473.62K,0.63%
,"2,994.99","2,692.80","2,994.99","2,671.72",908.75K,11.22%
03-Feb-22,"2,692.80","2,680.66","2,723.97","2,579.80",549.27K,0.44%
02-Feb-22,"2,681.00","2,787.16","2,809.57","2,618.07",602.40K,
01-Feb-22,"2,787.16","2,686.82","2,808.60","2,676.32",521.74K,3.73%
31-Jan-22,"2,686.82","2,602.71","2,704.64","2,478.85",601.73K,3.23%
30-Jan-22,"2,602.77","2,600.12","2,636.04","2,543.99",381.84K,0.11%
29-Jan-22,"2,600.02","2,545.95","2,632.51","2,520.14",484.18K,2.12%
28-Jan-22,"2,545.95","2,424.66","2,556.34","2,362.53",634.50K,5.00%
27-Jan-22,"2,424.66","2,462.25","2,515.19","2,317.30",774.54K,-1.49%
26-Jan-22,"2,461.41","2,458.07","2,719.32","2,405.66",1.05M,0.14%
25-Jan-22,"2,458.07","2,441.01","2,504.32","2,352.36",656.03K,0.70%
24-Jan-22,"2,441.01",,"2,540.81","2,161.55",1.56M,-3.93%
23-Jan-22,"2,540.81","2,412.52","2,547.19","2,373.85",766.83K,5.32%
22-Jan-22,"2,412.52","2,570.67","2,621.21","2,311.80",1.48M,-6.17%
21-Jan-22,"2,571.29","3,000.21","3,032.69","2,471.80",1.42M,-14.43%
20-Jan-22,"3,004.72","3,084.48","3,270.71","2,989.19",481.08K,-2.56%
19-Jan-22,"3,083.65","3,160.15","3,173.63","3,049.30",459.81K,-2.42%
18-Jan-22,"3,160.15","3,209.43","3,242.47","3,084.48",399.19K,-1.53%
17-Jan-22,"3,209.35","3,346.63","3,356.45","3,142.40",375.28K,-4.10%
16-Jan-22,"3,346.59","3,326.50","3,388.22","3,276.44",295.68K,0.57%
15-Jan-22,,"3,307.84","3,369.95","3,265.41",292.10K,0.60%
14-Jan-22,"3,307.90","3,241.95","3,341.24","3,195.65",415.18K,2.16%
13-Jan-22,"3,238.03","3,370.87","3,407.98","3,234.97",462.81K,-3.94%
12-Jan-22,"3,370.89","3,238.22","3,406.79","3,208.00",530.96K,4.11%
11-Jan-22,"3,237.89","3,084.64","3,262.78","3,053.40",505.21K,4.94%
10-Jan-22,"3,085.43","3,150.27","3,179.96","2,931.68",804.38K,-2.06%
09-Jan-22,"3,150.30","3,079.89","3,210.34","3,060.47",415.87K,2.28%
08-Jan-22,"3,080.02","3,198.14","3,244.46","3,001.76",566.06K,-3.61%
07-Jan-22,"3,195.31","3,407.22","3,413.26","3,077.30",979.25K,-6.23%
06-Jan-22,"3,407.77","3,536.15","3,550.19","3,306.14",701.89K,-3.62%
,"3,535.86","3,784.47","3,846.44","3,418.46",582.71K,-6.69%
04-Jan-22,"3,789.52","3,764.62","3,889.07","3,715.24",415.81K,0.67%
03-Jan-22,"3,764.24","3,830.70","3,849.50","3,682.48",338.51K,-1.73%
02-Jan-22,"3,830.67","3,765.67","3,851.16","3,718.33",242.55K,1.73%
01-Jan-22,"3,765.67","3,677.69","3,775.20","3,675.75",239.54K,2.39%
31-Dec-21,"3,677.85","3,709.38","3,812.01","3,623.74",405.65K,-0.85%
30-Dec-21,"3,709.57","3,629.33","3,767.93","3,589.64",355.72K,2.25%
29-Dec-21,"3,627.93","3,792.95","3,825.97","3,607.20",456.03K,-4.32%
28-Dec-21,"3,791.69","4,036.86","4,036.86","3,760.86",527.23K,-6.06%
27-Dec-21,"4,036.24","4,062.02","4,125.22","4,033.04",313.32K,-0.62%
26-Dec-21,"4,061.27","4,093.38","4,104.23","4,005.38",283.58K,-0.78%
25-Dec-21,"4,093.14","4,043.60","4,136.03","4,024.87",308.53K,1.23%
24-Dec-21,"4,043.39","4,110.20","4,133.77","4,024.24",353.85K,-1.62%
23-Dec-21,"4,110.14","3,979.57","4,149.17","3,895.89",573.18K,3.28%
22-Dec-21,"3,979.54","4,016.25","4,072.40","3,944.15",426.43K,-0.92%
21-Dec-21,"4,016.59","3,944.03","4,058.76","3,915.56",496.71K,1.98%
20-Dec-21,"3,938.80","3,925.46","3,978.66","3,757.42",531.11K,0.34%
19-Dec-21,"3,925.34","3,959.90","4,025.36","3,890.90",442.49K,-0.87%
18-Dec-21,"3,959.83","3,878.20","3,993.05","3,769.91",475.86K,2.10%
17-Dec-21,"3,878.29","3,957.12","3,993.87","3,702.33",654.90K,-1.98%
16-Dec-21,"3,956.62","4,019.57","4,108.24","3,955.46",512.12K,-1.56%
15-Dec-21,"4,019.24","3,860.51","4,090.15","3,649.69",821.22K,4.08%
14-Dec-21,"3,861.55","3,782.12","3,879.43","3,690.06",577.61K,2.11%
13-Dec-21,"3,781.94","4,131.47","4,141.27","3,673.19",891.67K,-8.47%
12-Dec-21,"4,131.78","4,078.17","4,173.21","3,988.29",360.45K,1.38%
11-Dec-21,"4,075.66","3,903.52","4,094.92","3,836.92",581.26K,4.41%
10-Dec-21,"3,903.48","4,107.20","4,226.79","3,894.03",798.12K,-4.97%
09-Dec-21,"4,107.69","4,435.74","4,482.89","4,078.14",642.17K,-7.40%
08-Dec-21,"4,435.74","4,307.08","4,449.69","4,229.63",574.33K,2.99%
07-Dec-21,"4,307.08","4,351.36","4,424.20","4,259.45",550.78K,-1.06%
06-Dec-21,"4,353.31","4,194.95","4,373.23","3,922.65",993.79K,3.78%
05-Dec-21,"4,194.80",,"4,247.38","4,036.00",707.69K,1.73%
04-Dec-21,"4,123.46","4,219.30","4,237.56","3,533.02",1.52M,-2.27%
03-Dec-21,"4,219.30","4,512.90","4,646.73","4,047.07",942.77K,-6.51%
02-Dec-21,"4,512.90","4,583.28","4,629.75","4,437.53",608.07K,-1.54%
01-Dec-21,"4,583.28","4,628.72","4,778.14","4,525.33",669.18K,-0.99%
30-Nov-21,"4,628.90","4,443.22","4,749.12","4,349.21",973.46K,4.18%
29-Nov-21,"4,443.22","4,296.98","4,456.82","4,280.18",532.66K,3.40%
28-Nov-21,"4,296.98","4,095.16","4,297.63","3,980.24",487.53K,4.94%
27-Nov-21,"4,094.80","4,037.06","4,183.02","4,029.06",370.73K,1.49%
26-Nov-21,"4,034.53","4,520.30","4,548.10","3,917.43",1.00M,-10.75%
25-Nov-21,"4,520.30","4,270.73",,"4,248.90",578.65K,5.77%
24-Nov-21,"4,273.54","4,340.23","4,372.83","4,172.19",595.96K,-1.54%
23-Nov-21,"4,340.23","4,086.73","4,384.75","4,064.17",684.35K,6.20%
22-Nov-21,"4,086.95","4,268.07","4,311.46","4,026.75",717.08K,-4.24%
21-Nov-21,"4,268.08","4,409.02","4,422.60","4,246.20",446.23K,-3.19%
,"4,408.85","4,295.27","4,434.27","4,206.75",462.99K,2.64%
19-Nov-21,"4,295.43","3,996.29","4,305.41","3,978.08",571.96K,7.34%
18-Nov-21,"4,001.87","4,290.31","4,342.74","3,958.44",792.38K,-6.74%
17-Nov-21,"4,290.88","4,208.29","4,298.30","4,071.01",664.94K,1.97%
16-Nov-21,"4,208.16","4,562.97","4,562.97","4,115.31",1.12M,-7.78%
15-Nov-21,"4,562.98","4,625.71","4,769.38","4,543.47",495.96K,-1.35%
14-Nov-21,"4,625.59","4,644.40","4,692.76","4,514.95",340.96K,-0.41%
13-Nov-21,"4,644.61","4,665.76","4,705.02","4,585.37",290.27K,-0.49%
12-Nov-21,"4,667.31","4,720.50","4,807.16","4,511.96",634.59K,-1.13%
11-Nov-21,"4,720.87","4,633.98","4,778.17","4,578.66",418.61K,1.87%
10-Nov-21,"4,634.03","4,731.83","4,864.06","4,498.78",761.90K,-2.07%
09-Nov-21,"4,731.83","4,808.34","4,836.69","4,715.43",437.41K,-1.59%
08-Nov-21,"4,808.38","4,612.05","4,822.97","4,612.05",673.21K,4.26%
07-Nov-21,"4,612.06","4,517.27","4,634.39","4,502.70",337.81K,2.10%
06-Nov-21,"4,517.36","4,475.00","4,526.75","4,330.29",442.60K,0.95%
05-Nov-21,"4,475.00","4,534.96","4,569.31","4,439.67",409.75K,-1.33%
04-Nov-21,"4,535.11","4,601.93","4,604.83","4,421.87",495.86K,-1.46%
03-Nov-21,"4,602.21","4,586.96","4,661.88","4,458.87",634.68K,0.35%
02-Nov-21,"4,586.06","4,320.85","4,598.38","4,287.36",630.26K,6.14%
01-Nov-21,"4,320.85","4,287.41","4,376.94","4,157.51",574.26K,0.78%
31-Oct-21,"4,287.56","4,322.00","4,393.61","4,169.48",555.32K,-0.77%
30-Oct-21,"4,320.65","4,413.70","4,428.41","4,250.24",494.87K,-2.11%
29-Oct-21,"4,413.70","4,284.90","4,458.30","4,268.21",781.57K,3.01%
28-Oct-21,"4,284.90","3,921.54","4,289.80","3,896.33",865.80K,9.25%
27-Oct-21,"3,921.93","4,130.06","4,299.61","3,914.06",1.07M,-5.03%
26-Oct-21,"4,129.51","4,219.92","4,291.98","4,098.19",559.29K,-2.14%
25-Oct-21,"4,219.92","4,082.68","4,234.76","4,069.94",481.41K,3.36%
24-Oct-21,"4,082.80","4,168.80","4,184.00","3,965.84",507.63K,-2.06%
23-Oct-21,"4,168.85","3,970.94","4,169.33","3,938.79",487.03K,4.98%
22-Oct-21,"3,970.94","4,053.89","4,164.11","3,896.40",654.77K,-2.05%
21-Oct-21,"4,054.16","4,160.51","4,366.91","4,029.48",1.14M,-2.54%
20-Oct-21,"4,159.89","3,876.76","4,168.12","3,830.26",752.03K,7.30%
19-Oct-21,"3,876.78","3,745.46","3,884.34","3,733.78",488.60K,3.45%
18-Oct-21,"3,747.60","3,848.64","3,892.01","3,685.82",578.21K,-2.55%
17-Oct-21,"3,845.47","3,827.55","3,917.56","3,664.63",543.52K,0.47%
16-Oct-21,"3,827.55","3,869.05","3,967.43","3,804.55",527.61K,-1.02%
15-Oct-21,"3,866.90","3,790.34","3,904.91","3,735.21",,2.02%
14-Oct-21,"3,790.41","3,607.36","3,820.47","3,588.24",697.09K,5.08%
13-Oct-21,"3,607.28","3,491.08","3,612.04","3,416.00",557.18K,3.36%
12-Oct-21,"3,489.90","3,541.49","3,545.35","3,404.49",609.89K,-1.56%
11-Oct-21,"3,545.06","3,414.93","3,622.53","3,381.43",683.24K,3.81%
10-Oct-21,"3,415.03",,"3,599.18","3,409.22",767.49K,-4.45%
09-Oct-21,"3,574.20","3,559.96","3,626.11","3,541.40",464.11K,0.42%
08-Oct-21,"3,559.42","3,586.91","3,668.35","3,537.24",681.74K,-0.74%
07-Oct-21,"3,586.00","3,575.43","3,650.18","3,473.47",826.29K,0.30%
06-Oct-21,"3,575.41","3,515.35","3,627.19","3,345.56",1.05M,1.65%
05-Oct-21,"3,517.26","3,383.32","3,540.83","3,365.28",663.88K,3.97%
04-Oct-21,"3,382.90","3,417.26","3,436.34","3,273.22",826.83K,-1.01%
03-Oct-21,"3,417.34","3,388.83","3,485.48","3,346.63",642.59K,0.84%
02-Oct-21,"3,388.97","3,309.14","3,467.95","3,265.97",778.15K,
01-Oct-21,"3,309.13","2,999.86","3,329.32","2,972.75",1.14M,10.28%
,"3,000.59","2,851.06","3,047.08","2,837.68",968.23K,5.23%
29-Sep-21,"2,851.50","2,807.15","2,948.50","2,784.66",728.86K,1.57%
28-Sep-21,"2,807.28","2,926.04","2,969.18","2,791.42",896.28K,-4.07%
27-Sep-21,"2,926.24","3,061.86","3,163.86","2,926.24",865.30K,-4.48%
26-Sep-21,"3,063.51","2,922.47","3,113.65","2,740.12",1.33M,4.82%
